path,status,source_group,file_type,size_bytes,sha256,canonical_path,normalized_companion,extraction_method,extraction_confidence,blocker
docs/decisions/0007-deterministic-first-parser.md,active-plan,docs,.md,853,961c165b6fab1733e69cf1a9de38d59ca3394036358fd25b509d79be24fe7cb9,docs/decisions/0007-deterministic-first-parser.md,,native-markdown,complete,
docs/decisions/0008-private-real-corpus-only.md,active-plan,docs,.md,796,38edae55ce441a1015c30b269816957469453a6ab8dec393d207da2189bcc2df,docs/decisions/0008-private-real-corpus-only.md,,native-markdown,complete,
docs/decisions/options/backend_stack_options.md,active-plan,docs,.md,1955,095b6d3d97d5ffef1a9f958adc3c255b07e4e30c82b2185149d2a06b9f0df5e8,docs/decisions/options/backend_stack_options.md,,native-markdown,complete,
docs/decisions/options/cloud_document_intelligence_options.md,active-plan,docs,.md,3419,deedc4bbd2c26794d4b9aacd84f242a3185d80052d592e210504a9aafdb931df,docs/decisions/options/cloud_document_intelligence_options.md,,native-markdown,complete,
docs/decisions/options/state_store_options.md,active-plan,docs,.md,1727,5d7373e4cee119ff21545b31bdb96c8adc4d60424b74779436f55618900ad9ba,docs/decisions/options/state_store_options.md,,native-markdown,complete,
docs/decisions/options/ui_platform_options.md,active-plan,docs,.md,2409,6cdd033b51fc1ce5434ee06f8a441b0712db42d752c487fcc991fc568bbbd64c,docs/decisions/options/ui_platform_options.md,,native-markdown,complete,
docs/docs_index.md,active-plan,docs,.md,2381,afa4200801e527ef90fc95f3aa06abb0361187e26bc4aed0a025b4c776fba896,docs/docs_index.md,,native-markdown,complete,
docs/glossary.md,active-plan,docs,.md,1068,f8a493965bd3b60bc4aff14cedcef08e2407c3c871fa10226a901b645c29a027,docs/glossary.md,,native-markdown,complete,
docs/integrations/external_services.md,active-plan,docs,.md,1201,34b8e31cb296a42d2a063c0f225515905e98c92b215c48817048daa4c6e2abb3,docs/integrations/external_services.md,,native-markdown,complete,
docs/operations/job_sheet_spreadsheet_companion.md,active-plan,docs,.md,4536,63d9d1cd47cc6b40d21b0b3cbb130eacee974322f52f9406fb57fb0733500e59,docs/operations/job_sheet_spreadsheet_companion.md,,native-markdown,complete,
docs/operations/monitoring_runbooks.md,active-plan,docs,.md,1251,1d51d563ec8835b2e27356e63c5c4a8172684a932387e3beb892d6ae1d301b13,docs/operations/monitoring_runbooks.md,,native-markdown,complete,
docs/operations/release_and_rollback.md,active-plan,docs,.md,1177,9f51da4fa4411ecc3f8ad04694ff4213b9a396a4a11b3a674a20eb261208a14f,docs/operations/release_and_rollback.md,,native-markdown,complete,
docs/operations/runbooks/box-upload-failure.md,active-plan,docs,.md,602,381474cbf905e5f9c048bddf8bbbea2740ef916a6b5f93af5867b3d459a1292a,docs/operations/runbooks/box-upload-failure.md,,native-markdown,complete,
docs/operations/runbooks/eva-rejected-payload.md,active-plan,docs,.md,660,0e3ea7ebbbada7fa9af13b0fcc138096649b159486f49a69ac45f0e126e8b773,docs/operations/runbooks/eva-rejected-payload.md,,native-markdown,complete,
docs/operations/runbooks/outlook-intake-stopped.md,active-plan,docs,.md,635,d279e8bc1c12c432236abb8afdc0cfe10817a37f8307dc1751d4a8f5ef0d5743,docs/operations/runbooks/outlook-intake-stopped.md,,native-markdown,complete,
docs/plans/_index.md,active-plan,docs,.md,845,06023e4c67204b4a0d86af8e1ba99059a6f1545d95a809dc5f17f0f508a7f79b,docs/plans/_index.md,,native-markdown,complete,
docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-figmaplan.md,implemented,archived_plans,.md,16089,026638e58e645b8939e2084e16b760db9a047fadf702a81f7de7882ab4e42325,docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-figmaplan.md,,native-markdown,complete,
docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-initrepoplan.md,implemented,archived_plans,.md,20323,8ec670d250721740b06c1367d20cdf1782f4412c17ddafa3ec3671521235c0eb,docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-initrepoplan.md,,native-markdown,complete,
docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-repository-restructure.md,implemented,archived_plans,.md,10527,95182cb9a9350b3307880389962efbe972be4bd42a6573c19f13d8906015d988,docs/plans/operational-core/archived_plans/implemented/2026-05-23-implemented-repository-restructure.md,,native-markdown,complete,
docs/plans/operational-core/archived_plans/superseded/.gitkeep,superseded,archived_plans,[no extension],1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,docs/plans/operational-core/archived_plans/superseded/.gitkeep,,not-applicable,not-applicable,
docs/plans/operational-core/parser-mvp/plan.md,active-plan,docs,.md,11594,9122e373d0404c4008979545b49a5ccfa96c4b1373cd11c07800dbd39a93eb3c,docs/plans/operational-core/parser-mvp/plan.md,,native-markdown,complete,
docs/plans/operational-core/source_synthesis.md,active-plan,docs,.md,8566,e4718c75f311887a4b9f77976d8b4a068419b6c4b62e739f4de53df2919fbeb6,docs/plans/operational-core/source_synthesis.md,,native-markdown,complete,
docs/plans/operational-core/tickets/backlog_index.md,active-plan,docs,.md,2522,cc3b1de1b5326c6f5d7890bb7648c2c280dc0d9afbde3c475da3344058e9f08e,docs/plans/operational-core/tickets/backlog_index.md,,native-markdown,complete,
docs/plans/operational-core/tickets/p0-foundation.md,active-plan,docs,.md,5522,07166e96512089bb1bbe090eb1b2bec09d5fce501b2cb4f442e5d2144845a928,docs/plans/operational-core/tickets/p0-foundation.md,,native-markdown,complete,
